,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
102,810 Oak Ave,Fast Food,Neoga,US,39.321895,-88.451273,Casey's General Store,62447,IL,http://www.caseys.com
103,701 S Van Buren St,Fast Food,Newton,US,38.983809,-88.161001,Casey's General Store,62448,IL,http://www.facebook.com/caseysgenstore
104,9175 De Soto Ave,Fast Food Restaurants,Chatsworth,US,34.23765,-118.58919,Chipotle Mexican Grill,91311,CA,"http://www.chipotle.com,http://chipotle.com"
105,328 N Main St,Fast Food Restaurants,Cedartown,US,34.017911,-85.253614,McDonald's,30125,GA,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJdTI6hwkTdO70YISz9gWhZfxgpeYkj_-R9vOeA-p1khZDhlZfUGWLzjorWZg3AbwYZrHfJw5wxFp6UvANO_y4sUDxEjtjqYRURVajG48cn8DG8XtxI_quyfbdkLD8UAAE6l2unFkm-j08eNMRITEhxrf-0J0t7QQl_m5QBqQxGUAIJbP4tuCKlQ5UkS_2fbv0TNkOmTRColjTv49Ic8j4qdTS8opNbGJI7wG3MpG-XO2aQiFOAPyWLWvX5xc7tgkkSrWFPPf6568Z0ebn5QPYCxsczgnGFxXTbEtNwrbSzXMr0bAXtLCc7THhEc6fIeLJLRY2-BiFu2XQugiS_Jnt2c17suE6c9DV&placement=listing_profile&cs_user=unknown&cs_session=c67eaf7275f5c760207335f24d46a3bfc849009c"
106,3025 Main St,Fast food restaurants,Glastonbury,US,41.726353,-72.617608,Burger King,6033,CT,"http://www.bk.com,http://bk.com"
107,2834 Main St,"American Restaurant, Sandwich Place, and Fast Food Restaurant",Glastonbury,US,41.720514,-72.614164,Boston Market,6033,CT,"http://www.bostonmarket.com,http://bostonmarket.com"
108,605 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.346447,-85.337368,McDonald's,42718,KY,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1DttlBrudHdoBH_DGjaTmU8PwdbfJ2xHPn7Rwi4U85-2Et587Fq8vmz8iGAm0EjY1KA0R2zhuMhnQKoGqWThgFN8jTErCjxtP6ollGXsWzGWbhCoZclcoPdleGfT21PW-SYTIkUwmGBOAc4gxt97kOU6h8_7VAEhFodMhojUnjcQV0jzIOdXWrA8XHVWc4Ne2mCN0L_k5sP1s5HSZuyYKD74rjqX9DHdfLf_fh_cwv2f3PoRNruakJsx4Q77MvV36wSfVo-ccW5rGjnV-Ji-wuoCGkbaadlEUapm8WquQeqX4seGxwJZ4u_gdLYz906J0I5hqNjQlV0cpIEe-RABopzNSK7YVr3R-iFf&placement=listing_profile.b&cs_user=unknown&cs_session=c32e8929edce4f151a7e8f5f303f328388f837d7"
109,1602 E Broadway St,Fast Food Restaurant,Campbellsville,US,37.357213,-85.323654,SUBWAY,42718,KY,"http://www.subway.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJrdpPH-jgTbkJVTDQ1eCKgW3VOJJPaEiUYk16SKia0wRbqbTrXrgOsTg6wvGYc7dD1JIugQyrEUjnheYMMfX7Lky5pbVLFPFbmAdGfdN8Nma7PGSKUXuqWgSpzEoUOKRdREuu5IhJf96KRMuWIVvtH4jsN7WtpquET2jm2wBIaUf0DSjXK7JJJbHAjR6-fcD9M9PkPMxSZVgQ8O3zIdkLn-PAVgBDJjHcBzOI8KJ0HKCvsWneLvVENMvDMFMCKHJ54zLmr3V76V2cVgUiaMt1VwJtMegdL5gmMum2a24nxrMq824yTST5BTVAcxhcohCYA9mZJSDrvQ4ZJ163lihC7FFPTsEqh0Lx&placement=listing_profile&cs_user=unknown&cs_session=aed3031b0c80181e40d32382a48b58fd6fc54832"
110,1475 Holiday Ln,Fast food restaurants,Fairfield,US,38.259527,-122.062146,Burger King,94534,CA,http://www.bk.com
111,1442 Winchester Ave,Fast Food Restaurants,Ashland,US,38.4791,-82.6411,Fat Patty's,41101,KY,"http://www.fatpattysonline.com,http://fatpattysonline.com"
112,12759 Us Route 60,Fast Food Restaurants,Ashland,US,38.3887,-82.7156,Dairy Queen,41102,KY,http://www.dairyqueen.com
113,1439 S US Highway 1,Fast Food Restaurants,Fort Pierce,US,27.4357,-80.326,Pizza Hut,34950,FL,http://www.pizzahut.com
114,12915 Cortez Blvd,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Brooksville,US,28.534187,-82.516103,Arby's,34613,FL,"http://www.arbys.com,http://arbys.com"
115,11671 Se Federal Hwy,Fast Food Restaurant,Hobe Sound,US,27.06168,-80.13746,McDonald's,33455,FL,http://mcdonalds.com
116,8792 Navarre Pkwy,Burger Joint and Fast Food Restaurant Gulf Breeze,Navarre,US,30.403772,-86.85506,Culver's,32566,FL,"http://www.culvers.com,http://culvers.com/restaurants/navarre-fl"
117,825 E 49th St,Fast food restaurants,Hialeah,US,25.867613,-80.266376,Burger King,33013,FL,"http://www.bk.com,http://www.burgerking.com/"
118,2750 W 68th St Ste 104,Fast Food,Hialeah,US,25.882938,-80.33868,Pizza Hut,33016,FL,"http://www.pizzahut.com,http://www.pizzahut.com/"
119,36172 Hwy 27,Fast Food,Haines City,US,28.125757,-81.64043,Dairy Queen,33844,FL,"http://www.dairyqueen.com/,http://dairyqueen.com"
120,52 Tuscan Way Ste 208,Fast Food Restaurants,Saint Augustine,US,29.96174,-81.49109,Pizza Hut,32092,FL,http://www.pizzahut.com
121,1232 Providence Blvd,Fast Food Restaurant,Deltona,US,28.8829,-81.2413,KFC,32725,FL,"http://www.kfc.com,http://kfc.com"
122,2370 US Highway 331 S,Fast food restaurants,DeFuniak Springs,US,30.68782,-86.12318,McDonald's,32435,FL,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1Dtt581JwH6rvi9UN2-AW34ISP0JhtFQGQLnDdvfQfrSO-zvO4AkSGgIkC0OkjRwrc_8XrbSDDlmhDrDxBVDmhrkP7KvU1bGJpElXa8uBndpVCIlriAsonKvp2MumhEshE40Aw0-dsieNYX2S9DzU5m6vregqZfEgTwhYO8AQ8LLx1EfG6Ahb1UU9RfR156SW0jUuA_qjgypXlwHx2tMyK8o-BiTP4Wgo0l6Tt48vg-Bc-EUANa7o7S62LuTc-HKnggjJQ_HFw_NywLHUwWkEeWnvvdqCJ3HbvPaW6Lm0fPy-QDpBzTDGCzP_7rzg1AMEv53BprniE-P2sJYRBjqQp2V2d7dIqyqpN1W&placement=listing_profile.b&cs_user=unknown&cs_session=6f41a129348aa81b8accd61d91669a3ef8d9d655"
123,1508 US Highway 331 S,Fast Food Restaurant,DeFuniak Springs,US,30.70032,-86.12317,SONIC Drive-In,32435,FL,"https://locations.sonicdrivein.com/fl/defuniak-springs/1508-u-s--hwy-331-south.html,http://sonicdrivein.com"
124,2434 US Highway 331 S,Fast Food Restaurants,DeFuniak Springs,US,30.68693,-86.12329,Whataburger,32435,FL,"https://locations.whataburger.com/fl/defuniak-springs/2434-us-highway-331-s.html/,https://locations.whataburger.com/fl/defuniak-springs/2434-us-highway-331-s.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,https://locations.whataburger.com/fl/defuniak-springs/2434-us-highway-331-s.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages"
125,9975 Corkscrew Rd,"Fast Food Restaurant, Sandwich Place, and American Restaurant",Estero,US,26.432003,-81.789408,Arby's,33928,FL,"http://www.arbys.com,http://locations.arbys.com/us/fl/estero/9975-corkscrew-rd.html"
126,519 Brandon Town Center Mall,Fast Food Restaurants,Brandon,US,27.928097,-82.324836,Chick-Fil-A,33511,FL,http://www.chick-fil-a.com/westfieldbrandon
127,865 S Main St,Fast Food Restaurant,Belle Glade,US,26.67511,-80.67,Taco Bell,33430,FL,"http://www.tacobell.com,https://locations.tacobell.com/fl/belle-glade/865-south-main-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028590andutm_content=website,http://tacobell.com"
128,339 US Highway 27 S,Fast Food Restaurant,Avon Park,US,27.596742,-81.494029,McDonald's,33825,FL,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJH082dWwoivc4p4kYcNctobV9d38jH7Uy-8s-6g-hHOcn8pK-EbMNfkijcS63cHK1O1bbz83Ue83JCdx1TixCNR2LYzXfU6L0dSkSxuTZ3Lq5VfyeGRg0LrcjQMAFb3FVHVJ3WARRKOLBF7fUDiThK0yXv7cfKps9_A3VjX2XeiZELE2ptulcV9a58R5y9pFUfjHddluI_Y0AyG54NxPxX8SoWeyfZo2zpaC4ZoeD_Gs_0bjOOvh8ON-OuH0Pb9waSdvDRDNlNkfm9H20Z-pkWtDOwMPZttSHkmuBqw1ndIs-jBEKdc0gWNjURXlxLMGkIbBYlj7CwRLnxCeKWvanRynguEUbZ9LH&placement=listing_profile&cs_user=unknown&cs_session=47264dd99389ccea3fa66609402cc35cc57f4737"
129,1498 US Highway 17 N,Fast Food Restaurants,Wauchula,US,27.56904,-81.81521,Pizza Hut,33873,FL,"http://www.pizzahut.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJLpjy3VUlKNh5fCAtnz4V-8bhJKzZuaQD1ca6FJqGo-lzldJqcinKEpHAkWuqda0Ne8oNZbA85xASB2d6apqWts_PSHBIUmoG3-nr-8gGvFTxeygH1B8SMrNrsTqHo2CKSQJJl0Uxo9GLc4TQG-5tee4TO3FDukULdmWBiK7upIMB0h-7jYYSApyO_DOgSBUM44jczEXGuTn_YLE1zzic4v6MEWcB05IjmINYQVe9QG2zert5bHNmfq3l3W27n8JaQ-lIJJ7UrUjNTTeVg_QY8z4zPoT-krZ0CiJ6MYqd-V2Wy-KoyGQrJ-iTBNPhuz8hnx0zO5qusUZCucT6WoakpFzgEQkvqo9X&placement=listing_profile&cs_user=unknown&cs_session=c3d172019472fa4e5bdc9385b94c631ca2bc0c45"
130,1608 W Orange Blossom Trl,Fast Food,Apopka,US,28.68587218,-81.53919026,Firehouse Subs,32712,FL,"https://www.firehousesubs.com/locations/fl/apopka-commons,http://www.firehousesubs.com"
131,460 Airways Ave,Fast Food Restaurant,Savannah,US,32.135603,-81.208243,Burger King,31408,GA,"http://bk.com,https://locations.bk.com/ga/savannah/460-airways-ave.html,http://www.bk.com"
132,1510 N Summit St,Fast Food Restaurant,Arkansas City,US,37.08012,-97.03938,SONIC Drive-In,67005,KS,"https://locations.sonicdrivein.com/ks/arkansas-city/1510-north-summit-street.html,http://sonicdrivein.com"
133,2613 Central Ave,Fast Food Restaurants,Dodge City,US,37.77885,-100.01663,McDonald's,67801,KS,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
134,2501 Se Delaware Ave,Fast Food Restaurants,Ankeny,US,41.704627,-93.580975,Burger King,50021,IA,"http://www.bk.com,https://locations.bk.com/ia/ankeny/2501-s-e-delaware.html"
135,2501 Se Delaware Ave,Fast Food Restaurant,Ankeny,US,41.704627,-93.580975,Burger King,50021,IA,"http://www.bk.com,https://locations.bk.com/ia/ankeny/2501-s-e-delaware.html"
136,134 W Kamehameha Ave,Fast Food Restaurants,Kahului,US,20.8874,-156.4698,Cupie's Drive-In,96732,HI,http://www.cupiesdrivein.com
137,230 S Duff Ave,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Ames,US,42.02045,-93.60967,Chick-Fil-A,50010,IA,"http://www.chick-fil-a.com/ames,http://www.chick-fil-a.com,http://chick-fil-a.com/ames"
138,2817 E 13th St,Fast Food Restaurants,Ames,US,42.03511,-93.57344,Burger King,50010,IA,"https://locations.bk.com/ia/ames/2817-east-13th-st.html,http://www.bk.com"
139,1020 E 1st St,Fast Food Restaurant,Ankeny,US,41.732374,-93.582329,Burger King,50021,IA,"http://www.bk.com,https://locations.bk.com/ia/ankeny/1020-east-1st-st.html"
140,2450 S Vista Ave,Fast Food Restaurants,Boise,US,43.580339,-116.213106,Pizza Hut,83705,ID,http://www.pizzahut.com
141,1807 N Church St,Fast food restaurants,Burlington,US,36.09503,-79.408,Burger King,27217,NC,"http://www.bk.com,https://locations.bk.com/nc/burlington/1807-north-church-st.html,http://bk.com"
142,2535 18th St,Fast Food Restaurants,Bettendorf,US,41.548648,-90.504798,Dairy Queen,52722,IA,http://www.dairyqueen.com
143,9320 Steele Creek Rd,Fast Food Restaurant,Charlotte,US,35.16361,-80.96889,McDonald's,28273,NC,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com"
144,9640 Mariposa Rd,Fast Food Restaurant,Hesperia,US,34.425812,-117.378018,Burger King,92344,CA,http://www.bk.com
145,17021 Main St,Fast food restaurants,Hesperia,US,34.419638,-117.291579,Burger King,92345,CA,http://www.bk.com
146,14485 Inglewood Ave,Fast Food Restaurant,Hawthorne,US,33.899881,-118.361657,Del Taco,90250,CA,http://deltaco.com
147,18070 Chatsworth St,Fast Food Restaurant,Granada Hills,US,34.264517,-118.526782,Del Taco,91344,CA,"http://www.deltaco.net,http://deltaco.net"
148,1200 Forrest Ave,Fast Food Restaurant,Dover,US,39.158375,-75.550267,Arby's,19904,DE,"http://www.arbys.com,https://locations.arbys.com/us/de/dover/1200-forrest-ave.html,http://locations.arbys.com/us/de/dover/1200-forrest-ave.html"
